State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
CA,6,12690,Empire Union Elementary School District,"27,056","3,408",771
CA,6,12750,Encinitas Union Elementary School District,"75,426","6,271",371
CA,6,12810,Enterprise Elementary School District,"32,626","3,773",956
CA,6,12840,Escalon Unified School District,"15,739","3,033",667
CA,6,12880,Escondido Union Elementary School District,"174,095","20,647","3,685"
CA,6,12910,Escondido Union High School District,"177,581","10,108","1,505"
CA,6,12930,Esparto Unified School District,"6,472","1,225",134
CA,6,12960,Etiwanda Elementary School District,"92,259","12,445","1,161"
CA,6,52,Eureka City Unified School District,"50,612","5,765","1,346"
CA,6,13080,Eureka Union Elementary School District,"29,743","3,783",162
CA,6,13140,Evergreen Elementary School District,"108,384","14,499","1,232"
CA,6,13170,Evergreen Union Elementary School District,"9,440","1,096",177
CA,6,1423,Exeter Unified School District,"17,104","3,260",848
CA,6,13290,Fairfax Elementary School District,"14,918","2,587",830
CA,6,13360,Fairfield-Suisun Unified School District,"139,439","24,197","2,975"
CA,6,13470,Fall River Joint Unified School District,"8,100","1,166",259
CA,6,13500,Fallbrook Union Elementary School District,"65,158","5,885","1,034"
CA,6,13530,Fallbrook Union High School District,"67,486","2,777",359
CA,6,35,Farmersville Unified School District,"11,762","2,980",966
CA,6,13710,Feather Falls Union Elementary School District,414,33,8
CA,6,37,Ferndale Unified School District,"2,894",434,57
CA,6,13740,Fieldbrook Elementary School District,874,99,20
CA,6,13800,Fillmore Unified School District,"20,232","4,007",744
CA,6,13840,Firebaugh-Las Deltas Unified School District,"9,086","2,261",580
CA,6,13860,Flournoy Union Elementary School District,270,26,7
CA,6,13890,Folsom-Cordova Unified School District,"131,770","22,645","2,141"
CA,6,13920,Fontana Unified School District,"187,130","41,362","8,595"
CA,6,13980,Foresthill Union Elementary School District,"6,709",576,49
CA,6,14010,Forestville Union Elementary School District,"6,834",452,35
CA,6,14040,Forks of Salmon Elementary School District,206,17,6
CA,6,14070,Fort Bragg Unified School District,"14,928","2,073",465
CA,6,14130,Fort Ross Elementary School District,645,39,11
CA,6,11,Fort Sage Unified School District,"2,969",281,21
CA,6,1420,Fortuna Elementary School District,"13,711","1,582",323
CA,6,14190,Fortuna Union High School District,"23,003","1,201",203
CA,6,14220,Fountain Valley Elementary School District,"57,140","5,583",567
CA,6,14250,Fowler Unified School District,"10,509","2,149",501
CA,6,14340,Franklin Elementary School District,"2,686",277,39
CA,6,14370,Franklin-McKinley Elementary School District,"97,698","12,015","2,012"
CA,6,14400,Fremont Unified School District,"235,749","38,607","1,981"
CA,6,14430,Fremont Union High School District,"243,263","12,065",423
CA,6,14490,French Gulch-Whiskeytown Elementary School District,446,35,6
CA,6,14520,Freshwater Elementary School District,"2,519",161,30
CA,6,14550,Fresno Unified School District,"405,796","81,353","27,182"
CA,6,14700,Fruitvale Elementary School District,"22,006","3,023",497
CA,6,14730,Fullerton Elementary School District,"124,983","13,227","2,609"
CA,6,14760,Fullerton Joint Union High School District,"264,447","14,607","2,365"
CA,6,14790,Galt Joint Union Elementary School District,"30,963","4,497",835
CA,6,14820,Galt Joint Union High School District,"40,727","2,752",350
CA,6,14880,Garden Grove Unified School District,"290,408","48,762","11,297"
CA,6,14910,Garfield Elementary School District,331,21,2
CA,6,14940,Garvey Elementary School District,"54,980","5,326","1,612"
CA,6,14950,Gateway Unified School District,"29,936","4,489",901
CA,6,14970,Gazelle Union Elementary School District,292,33,8
CA,6,15000,General Shafter Elementary School District,"1,142",149,26
CA,6,15090,Gerber Union Elementary School District,"3,481",413,131
CA,6,15150,Geyserville Unified School District,"1,817",259,18
CA,6,15180,Gilroy Unified School District,"63,161","12,873","1,511"
CA,6,15240,Glendale Unified School District,"221,360","28,188","4,537"
CA,6,15270,Glendora Unified School District,"38,898","6,456",580
CA,6,15390,Gold Oak Union Elementary School District,"8,689",727,60
CA,6,15450,Gold Trail Union Elementary School District,"6,051",500,33
CA,6,15480,Golden Feather Union Elementary School District,"2,787",209,61
CA,6,91134,Golden Plains Unified School District,"7,722","2,034",587
CA,6,68,Golden Valley Unified School District,"10,817","2,026",206
CA,6,15510,Goleta Union Elementary School District,"80,388","4,403",404
CA,6,46,Gonzales Unified School District,"11,864","2,463",440
CA,6,15600,Gorman Elementary School District,154,15,0
CA,6,15690,Grant Elementary School District,"2,835",370,43
CA,6,15780,Grass Valley Elementary School District,"25,368","2,096",504
CA,6,15810,Gratton Elementary School District,579,71,11
CA,6,15840,Gravenstein Union Elementary School District,"5,710",450,38
CA,6,15870,Graves Elementary School District,76,11,1
CA,6,15990,Green Point Elementary School District,234,21,6
CA,6,16080,Greenfield Union Elementary School District,"18,436","3,059",647
CA,6,16050,Greenfield Union School District,"52,366","8,806","2,688"
CA,6,16110,Grenada Elementary School District,"1,035",94,18
CA,6,51,Gridley Unified School District,"11,750","2,107",447
