Table with column headers in row 3,,,,,,
"2017 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2018",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AK,02,00690,Skagway School District,"1,157",108,10
AK,02,00700,Southeast Island School District,"1,902",276,26
AK,02,00710,Southwest Region School District,"2,564",602,209
AK,02,00680,St. Marys City School District,558,147,55
AK,02,00715,Tanana City School District,236,48,7
AK,02,00720,Unalaska City School District,"4,535",379,13
AK,02,00780,Valdez City School District,"3,829",651,37
AK,02,00810,Wrangell School District,"2,521",371,59
AK,02,00840,Yakutat School District,605,76,25
AK,02,00775,Yukon Flats School District,"1,382",265,72
AK,02,00862,Yukon-Koyukuk School District,"1,918",376,117
AK,02,00004,Yupiit School District,"1,430",365,161
AZ,04,00450,Agua Fria Union High School District,"136,239","8,042",868
AZ,04,00480,Aguila Elementary District,"1,330",211,69
AZ,04,00520,Ajo Unified District,"3,447",418,93
AZ,04,00600,Alhambra Elementary District,"95,329","15,628","5,991"
AZ,04,00630,Alpine Elementary District,464,45,13
AZ,04,04770,Altar Valley Elementary District,"7,581","1,324",355
AZ,04,00680,Amphitheater Unified District,"142,110","18,788","3,264"
AZ,04,00720,Antelope Union High School District,"6,760",351,72
AZ,04,00750,Apache Elementary District,158,22,8
AZ,04,00790,Apache Junction Unified District,"65,168","7,589","1,335"
AZ,04,00840,Arlington Elementary District,"1,647",266,59
AZ,04,00870,Ash Creek Elementary District,669,47,11
AZ,04,00910,Ash Fork Joint Unified District,"1,954",262,69
AZ,04,00960,Avondale Elementary District,"50,388","7,690","1,528"
AZ,04,01000,Bagdad Unified School District,"2,317",453,51
AZ,04,01050,Balsz Elementary District,"32,761","3,787","1,242"
AZ,04,01080,Beaver Creek Elementary District,"5,199",737,85
AZ,04,00212,Benson Unified School District,"7,787","1,111",290
AZ,04,01160,Bicentennial Union High School District,"10,981",305,45
AZ,04,01180,Bisbee Unified District,"6,723",766,201
AZ,04,01230,Blue Elementary District,43,0,0
AZ,04,06580,Blue Ridge Unified District,"14,426","2,457",576
AZ,04,01260,Bonita Elementary District,"1,205",53,8
AZ,04,01290,Bouse Elementary District,"1,189",45,8
AZ,04,01330,Bowie Unified District,573,79,10
AZ,04,01380,Buckeye Elementary District,"42,489","6,055","1,036"
AZ,04,01410,Buckeye Union High School District,"74,245","4,444",559
AZ,04,01500,Bullhead City School District,"41,552","3,483","1,085"
AZ,04,01600,Camp Verde Unified District,"12,383","1,778",365
AZ,04,01650,Canon Elementary District,"3,157",333,105
AZ,04,01680,Cartwright Elementary District,"126,420","21,955","7,607"
AZ,04,01710,Casa Grande Elementary District,"69,574","9,275","1,688"
AZ,04,01740,Casa Grande Union High School District,"99,300","5,472",913
AZ,04,01760,Catalina Foothills Unified District,"32,550","4,587",256
AZ,04,00001,Cave Creek Unified District,"63,449","8,954",665
AZ,04,01810,Cedar Unified District,"7,404","1,578",598
AZ,04,01870,Chandler Unified District,"249,113","46,953","4,269"
AZ,04,01920,Chevelon Butte School District,681,27,2
AZ,04,01940,Chinle Unified District,"20,227","4,631","2,242"
AZ,04,00003,Chino Valley Unified District,"23,263","3,424",602
AZ,04,00004,Clarkdale-Jerome Elementary District,"4,089",331,45
AZ,04,02130,Cochise Elementary District,249,31,7
AZ,04,00021,Colorado City Unified District,"6,348","2,355",800
AZ,04,00082,Colorado River Union High School District,"66,620","2,720",580
AZ,04,02190,Concho Elementary District,"2,481",277,97
AZ,04,02220,Congress Elementary District,"2,637",205,28
AZ,04,02250,Continental Elementary District,"27,170",677,61
AZ,04,02320,Coolidge Unified District,"39,472","8,173","1,294"
AZ,04,02370,Cottonwood-Oak Creek Elementary District,"31,828","2,910",602
AZ,04,02400,Crane Elementary District,"45,871","6,523","1,598"
AZ,04,02430,Creighton Elementary District,"74,590","9,753","3,181"
AZ,04,02460,Crown King Elementary District,188,14,3
AZ,04,07750,Deer Valley Unified District,"269,651","49,507","4,604"
AZ,04,02490,Double Adobe Elementary District,458,81,29
AZ,04,02530,Douglas Unified District,"20,829","4,206","1,439"
AZ,04,02600,Duncan Unified District,"2,973",556,101
AZ,04,02690,Dysart Unified District,"184,645","34,432","4,596"
AZ,04,02710,Eagle Elementary District,40,2,0
AZ,04,02760,Elfrida Elementary District,"1,065",116,16
AZ,04,02790,Eloy Elementary District,"7,605","1,093",312
AZ,04,02820,Empire Elementary District,464,69,16
AZ,04,02860,Flagstaff Unified District,"95,999","13,151","2,007"
AZ,04,02920,Florence Unified School District,"81,226","13,279","1,467"
AZ,04,03010,Flowing Wells Unified District,"31,302","5,096","1,373"
AZ,04,03150,Fort Huachuca Accommodation District,"5,330",666,90
AZ,04,03200,Fort Thomas Unified District,"5,271","1,374",429
AZ,04,03040,Fountain Hills Unified District,"25,966","2,760",193
AZ,04,03060,Fowler Elementary District,"33,573","5,789","1,825"
AZ,04,03080,Fredonia-Moccasin Unified District,"2,946",462,91
AZ,04,03240,Gadsden Elementary District,"26,790","4,312","1,409"
AZ,04,03290,Ganado Unified District,"7,188","1,537",719
AZ,04,03310,Gila Bend Unified District,"2,723",528,150
AZ,04,03400,Gilbert Unified District,"208,084","44,559","3,236"
AZ,04,03420,Glendale Elementary District,"110,089","16,357","5,194"
AZ,04,03450,Glendale Union High School District,"364,786","20,388","4,880"
AZ,04,03500,Globe Unified District,"10,602","1,636",441
AZ,04,03550,Grand Canyon Unified District,"2,751",201,28
AZ,04,03660,Hackberry School District,"1,251",100,24
AZ,04,03730,Hayden-Winkelman Unified District,"1,340",198,63
AZ,04,00026,Heber-Overgaard Unified District,"4,150",478,105
AZ,04,03780,Higley Unified District,"73,004","15,981","1,032"
AZ,04,08460,Hillside Elementary District,139,22,3
AZ,04,03820,Holbrook Unified District,"10,683","2,236",665
AZ,04,03870,Humboldt Unified District,"55,245","8,230","1,602"
AZ,04,03900,Hyder Elementary District,779,108,19
AZ,04,03950,Indian Oasis-Baboquivari Unified District,"7,485","1,616",698
AZ,04,03960,Isaac Elementary District,"48,637","8,311","3,349"
AZ,04,03990,J. O. Combs Unified School District,"39,926","9,045",877
AZ,04,04010,Joseph City Unified District,"1,816",416,115
AZ,04,04060,Kayenta Unified District,"10,619","2,560","1,094"
AZ,04,00295,Kingman Unified School District,"67,675","8,643","2,123"
AZ,04,04170,Kirkland Elementary District,"1,223",140,53
AZ,04,04200,Klondyke Elementary District,66,6,4
AZ,04,04230,Kyrene Elementary District,"169,934","19,202","1,464"
AZ,04,04280,Lake Havasu Unified District,"57,477","6,592","1,272"
AZ,04,04290,Laveen Elementary District,"46,178","7,145","1,420"
AZ,04,04320,Liberty Elementary District,"27,019","4,150",503
AZ,04,04380,Litchfield Elementary District,"85,852","11,660","1,076"
AZ,04,04410,Littlefield Unified District,"4,065",580,93
AZ,04,04440,Littleton Elementary District,"44,092","6,954","1,213"
AZ,04,04500,Madison Elementary District,"62,301","5,401",730
AZ,04,04530,Maine Consolidated School District,"1,339",155,31
AZ,04,04570,Mammoth-San Manuel Unified District,"6,253","1,149",240
AZ,04,04630,Marana Unified District,"90,383","15,302","1,669"
AZ,04,04720,Maricopa Unified School District,"54,144","11,012","1,235"
AZ,04,04820,Mayer Unified District,"6,141",699,334
AZ,04,04860,McNary Elementary District,550,152,69
AZ,04,04920,McNeal Elementary District,482,102,14
AZ,04,04970,Mesa Unified District,"512,019","84,087","16,265"
AZ,04,05030,Miami Unified District,"7,535","1,219",505
AZ,04,05070,Mingus Union High School District,"35,917","1,459",307
AZ,04,05100,Mobile Elementary District,140,25,4
AZ,04,05190,Mohave Valley Elementary District,"22,479","1,943",428
AZ,04,05220,Mohawk Valley Elementary District,"1,691",172,45
AZ,04,05320,Morenci Unified District,"6,399","1,331",98
AZ,04,05340,Morristown Elementary District,"2,028",282,32
AZ,04,05400,Murphy Elementary District,"19,480","2,176",749
AZ,04,05430,Naco Elementary District,"1,427",361,107
AZ,04,05460,Nadaburg Unified School District,"9,177","1,782",234
