LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,LOC_OTHER,LOC_COUNT,LOC_SCH
4215030,Mechanicsburg Area SD,42,100 E Elmwood Ave 2nd Floor,Mechanicsburg,PA,17055,42,42041,Cumberland County,40.206887,-77.0025,25420,"Harrisburg-Carlisle, PA",1,276,"Harrisburg-York-Lebanon, PA",N,N,4211,42088,42031,2017-2018,21,0.0,1,21
4215120,Mercer Area SD,42,545 W Butler St,Mercer,PA,16137,42,42085,Mercer County,41.224278,-80.24812,49660,"Youngstown-Warren-Boardman, OH-PA",1,566,"Youngstown-Warren, OH-PA",N,N,4203,42008,42050,2017-2018,31,0.0,1,31
4215150,Meyersdale Area SD,42,309 Industrial Park Road,Meyersdale,PA,15552,42,42111,Somerset County,39.7989,-79.0402,43740,"Somerset, PA",2,306,"Johnstown-Somerset, PA",N,N,4209,42051,42032,2017-2018,41,0.0,1,41
4215170,Mid Valley SD,42,52 Underwood Rd,Throop,PA,18512,42,42069,Lackawanna County,41.447382000000005,-75.601692,42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,N,N,N,N,4217,42112,42022,2017-2018,21,0.0,1,21
4215210,Midd-West SD,42,568 E Main St,Middleburg,PA,17842,42,42109,Snyder County,40.7895,-77.0352,42780,"Selinsgrove, PA",2,146,"Bloomsburg-Berwick-Sunbury, PA",N,N,4210,42085,42027,2017-2018,41,17.62,2,"41, 43"
4215240,Middletown Area SD,42,55 W Water St,Middletown,PA,17057,42,42043,Dauphin County,40.19833,-76.73186100000001,25420,"Harrisburg-Carlisle, PA",1,276,"Harrisburg-York-Lebanon, PA",N,N,4215,42106,42048,2017-2018,21,0.0,1,21
4215270,Midland Borough SD,42,173 7th St,Midland,PA,15059,42,42007,Beaver County,40.63956,-80.45239000000001,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4212,42014,42047,2017-2018,31,0.0,1,31
4215290,Mifflin County SD,42,201 Eighth St - Highland Park,Lewistown,PA,17044,42,42087,Mifflin County,40.6223,-77.5635,30380,"Lewistown, PA",2,N,N,N,N,4210,42082,42034,2017-2018,32,17.07,2,"32, 41"
4215330,Millcreek Township SD,42,3740 W 26th St,Erie,PA,16506,42,42049,Erie County,42.0804,-80.1584,21500,"Erie, PA",1,240,"Erie-Meadville, PA",N,N,4203,42003,42049,2017-2018,22,0.0,1,22
4215360,Millersburg Area SD,42,799 Center St,Millersburg,PA,17061,42,42043,Dauphin County,40.542761,-76.95200200000001,25420,"Harrisburg-Carlisle, PA",1,276,"Harrisburg-York-Lebanon, PA",N,N,4211,42104,42015,2017-2018,32,0.0,1,32
4215450,Millville Area SD,42,330 East Main St,Millville,PA,17846,42,42037,Columbia County,41.1234,-76.5263,14100,"Bloomsburg-Berwick, PA",1,146,"Bloomsburg-Berwick-Sunbury, PA",N,N,4211,42109,42027,2017-2018,42,0.0,1,42
4215480,Milton Area SD,42,700 Mahoning St,Milton,PA,17847,42,42097,Northumberland County,41.009493,-76.841862,44980,"Sunbury, PA",2,146,"Bloomsburg-Berwick-Sunbury, PA",N,N,4210,42108,42027,2017-2018,32,0.0,1,32
4215510,Minersville Area SD,42,Battlin Miner Dr & Low Rd,Minersville,PA,17954,42,42107,Schuylkill County,40.69463,-76.268528,39060,"Pottsville, PA",2,N,N,N,N,4217,42123,42029,2017-2018,32,0.0,1,32
4215540,Mohawk Area SD,42,385 Mohawk School Road,Bessemer,PA,16112,42,42073,Lawrence County,40.979632,-80.452825,35260,"New Castle, PA",2,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4203,42009,42047,2017-2018,41,0.0,1,41
4215600,Monessen City SD,42,1275 Rostraver St,Monessen,PA,15062,42,42129,Westmoreland County,40.150547,-79.888205,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4209,42058,42032,2017-2018,23,0.0,1,23
4215660,Montgomery Area SD,42,120 Penn St,Montgomery,PA,17752,42,42081,Lycoming County,41.181893,-76.882909,48700,"Williamsport, PA",1,558,"Williamsport-Lock Haven, PA",N,N,4210,42083,42023,2017-2018,41,40.9,2,"31, 41"
4215720,Montour SD,42,225 Clever Road,Mc Kees Rocks,PA,15136,42,42003,Allegheny County,40.468537000000005,-80.117569,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4218,42045,42037,2017-2018,21,0.0,1,21
4215750,Montoursville Area SD,42,50 N Arch St,Montoursville,PA,17754,42,42081,Lycoming County,41.2499,-76.9201,48700,"Williamsport, PA",1,558,"Williamsport-Lock Haven, PA",N,N,4210,42084,42023,2017-2018,23,11.86,2,"23, 41"
4215810,Montrose Area SD,42,273 Meteor Way,Montrose,PA,18801,42,42115,Susquehanna County,41.843367,-75.845042,N,N,0,N,N,N,N,4210,42111,42023,2017-2018,42,20.99,2,"41, 42"
4215830,Moon Area SD,42,8353 University Boulevard,Moon Township,PA,15108,42,42003,Allegheny County,40.51057,-80.220901,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4218,42044,42037,2017-2018,21,0.0,1,21
4215900,Morrisville Borough SD,42,550 W Palmer St,Morrisville,PA,19067,42,42017,Bucks County,40.20883,-74.789061,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4208,42031,42010,2017-2018,21,0.0,1,21
4215960,Moshannon Valley SD,42,4934 Green Acre Rd,Houtzdale,PA,16651,42,42033,Clearfield County,40.829561,-78.402811,20180,"DuBois, PA",2,524,"State College-DuBois, PA",N,N,4205,42073,42035,2017-2018,41,0.0,1,41
